i    j    k    brain       skull       skin        outside     
1    22   13   0.009766    0.125488    0.247070    0.617676    
1    22   12   0.000000    0.024414    0.156738    0.818848    
1    22   16   0.089844    0.260742    0.269531    0.379883    
1    22   20   0.000000    0.000000    0.025391    0.974609    
1    22   18   0.008789    0.132324    0.250488    0.608398    
1    22   15   0.086426    0.245117    0.282227    0.386230    
1    22   17   0.057129    0.214844    0.268066    0.459961    
1    22   19   0.000000    0.025391    0.151855    0.822754    
1    23   14   0.000000    0.001953    0.089355    0.908691    
1    23   15   0.000000    0.009766    0.123047    0.867188    
1    23   16   0.000000    0.006836    0.130371    0.862793    
1    23   12   0.000000    0.000000    0.000488    0.999512    
1    23   13   0.000000    0.000000    0.027832    0.972168    
1    23   17   0.000000    0.001465    0.093262    0.905273    
1    23   19   0.000000    0.000000    0.000977    0.999023    
1    23   18   0.000000    0.000000    0.037109    0.962891    
2    6    14   0.000000    0.000000    0.016602    0.983398    
2    6    15   0.000000    0.000000    0.027832    0.972168    
2    6    18   0.000000    0.000000    0.002930    0.997070    
2    6    17   0.000000    0.000000    0.014648    0.985352    
2    6    13   0.000000    0.000000    0.000977    0.999023    
2    6    16   0.000000    0.000000    0.038574    0.961426    
2    7    11   0.000000    0.000000    0.015625    0.984375    
2    7    12   0.000000    0.015625    0.123535    0.860840    
2    7    15   0.066895    0.182129    0.301270    0.449707    
2    7    14   0.036133    0.161621    0.270020    0.532227    
2    7    13   0.004883    0.094727    0.210938    0.689453    
2    7    16   0.059082    0.202148    0.272949    0.465820    
2    7    17   0.036133    0.152344    0.262695    0.548828    
2    7    18   0.006348    0.089844    0.212891    0.690918    
2    7    19   0.000000    0.013184    0.123535    0.863281    
2    7    20   0.000000    0.000000    0.013184    0.986816    
2    8    10   0.000000    0.009277    0.080566    0.910156    
2    8    11   0.017578    0.117188    0.248535    0.616699    
2    8    12   0.159668    0.253906    0.283203    0.303223    
2    8    13   0.361816    0.271973    0.253906    0.112305    
2    8    14   0.501465    0.280273    0.179199    0.039062    
2    8    16   0.570801    0.258301    0.149902    0.020996    
2    8    15   0.571777    0.263672    0.145996    0.018555    
2    8    18   0.350586    0.283691    0.247070    0.118652    
2    8    17   0.484375    0.265137    0.207031    0.043457    
2    8    21   0.000000    0.006836    0.086914    0.906250    
2    8    19   0.150391    0.250488    0.277344    0.321777    
2    8    22   0.000000    0.000000    0.000488    0.999512    
2    8    20   0.011230    0.144043    0.234863    0.609863    
2    9    13   0.828613    0.159180    0.012207    0.000000    
